,P1,P2,P3,Thi
0,8.375,7.25,8.5,9.0
1,8.25,7.25,8.5,9.0
2,8.5,7.5,8.5,10.0
3,4.0,7.25,8.5,9.0
4,8.75,7.5,8.5,9.5
5,7.75,7.75,7.75,7.5
6,7.0,3.0,7.0,7.0
7,7.5,7.5,7.5,7.5
8,7.0,7.0,7.0,7.0
9,7.25,7.0,7.0,7.5
10,7.625,7.25,7.0,7.25
11,7.75,7.25,7.25,7.5
12,7.625,7.375,7.75,7.5
13,7.5,6.5,6.75,7.0
14,7.5,7.25,7.0,7.25
15,8.5,8.0,9.0,9.0
16,8.125,7.625,7.5,7.75
17,8.125,7.625,7.75,7.75
18,8.25,7.875,8.0,7.5
19,8.0,7.25,8.25,8.0
20,7.75,7.0,6.0,7.5
21,8.25,7.25,6.5,8.0
22,3.5,0.0,0.0,0.0
23,8.75,8.0,9.0,8.5
24,7.75,7.25,6.75,8.0
25,8.0,7.0,7.0,7.5
26,7.75,7.625,7.5,7.5
27,7.25,7.5,7.0,7.0
28,3.75,7.0,7.0,7.0
29,8.0,7.125,7.0,7.25
30,7.75,7.0,7.0,7.0
31,8.125,7.25,7.0,7.5
32,8.5,3.75,7.0,7.0
33,8.0,3.75,7.0,8.0
34,8.375,7.675,7.0,7.5
35,7.5,7.5,7.5,8.0
36,8.25,7.75,7.0,8.0
37,7.0,7.0,7.0,8.0
38,8.25,8.0,7.5,8.25
39,7.75,7.0,7.0,8.0
40,8.25,7.25,7.0,8.0
41,7.75,7.0,6.5,7.25
42,7.4,6.75,6.0,7.0
43,7.5,6.0,6.0,6.5
44,0.0,0.0,0.0,0.0
45,7.75,6.5,7.5,7.5
46,8.0,7.25,7.5,7.5
47,8.25,8.25,8.5,8.0
48,8.0,7.0,7.5,7.5
49,8.25,7.5,7.5,7.75
50,8.0,7.875,6.5,7.75
51,8.25,7.5,6.5,7.5
52,7.75,7.5,7.0,7.5
53,8.0,7.25,6.5,7.5
54,8.125,7.875,6.0,7.75
55,7.5,6.0,7.0,6.5
56,7.5,7.625,8.5,8.0
57,7.25,6.5,7.5,8.0
58,7.75,8.0,9.5,9.0
59,7.125,7.0,7.5,8.0
60,0.0,0.0,0.0,0.0
61,7.625,7.375,7.0,7.0
62,0.0,0.0,0.0,0.0
63,0.0,7.75,7.5,6.0
64,7.5,7.0,7.0,7.0
65,7.0,6.25,6.0,7.0
66,0.0,0.0,0.0,0.0
67,0.5,5.75,5.0,7.0
68,7.375,7.375,6.5,7.5
69,3.75,2.625,6.0,6.0
70,8.25,7.75,8.25,8.0
71,3.5,3.25,6.0,6.5
72,7.25,6.5,6.0,6.5
73,7.75,3.5,7.5,7.5
74,0.0,0.0,0.0,0.0
75,6.5,6.5,6.0,6.5
76,5.5,5.5,6.0,5.0
77,6.5,7.0,7.0,6.75
78,7.25,5.5,7.0,6.0
79,7.5,5.0,6.0,6.0
80,8.0,6.0,6.0,6.0
81,9.0,8.0,8.0,8.0
82,7.5,5.0,6.0,6.0
83,6.5,6.0,6.0,6.0
84,8.0,6.5,7.0,7.0
85,8.0,7.0,7.0,6.0
86,8.0,7.0,7.0,7.0
87,7.301474576271188,6.594310344827586,6.693976271186441,6.724402730375426
88,7.301474576271188,6.594310344827586,6.693976271186441,6.724402730375426
89,10.0,6.5,8.0,6.5
90,10.0,8.0,8.0,8.5
91,10.0,6.5,7.5,7.0
92,7.0,6.0,7.0,7.0
93,10.0,6.75,8.0,7.0
94,10.0,6.5,8.0,7.0
95,7.0,6.0,6.5,6.724402730375426
96,7.12,6.25,7.0,6.5
97,7.75,6.25,7.25,6.25
98,7.35,6.0,7.0,6.0
99,7.5,5.5,6.5,6.0
100,7.12,5.75,6.5,6.25
101,10.0,6.0,6.5,6.5
102,10.0,6.5,6.5,6.5
103,7.0,5.0,6.5,6.0
104,10.0,6.0,6.5,6.5
