,10%,20%,BT bo sung,20%,Thi
32_011,7.25,6.5,6,6.5,6.75
32_012,7,7.5,5,7.5,7
32_013,7,7.25,5.25,7.25,7
32_014,6.5,7,5.25,7,6.5
32_015,7.5,7,5,7,7.25
32_021,8,6.75,7,7,7
32_022,7.5,6.5,6,6,6.5
32_023,7.5,6.5,6,6,6.5
32_024,7,6.25,6.25,6,6.5
32_025,7.5,6,6,5.5,6
32_031,9,7.375,8,8,8
32_032,9.5,7.75,8.5,8,8
32_033,9.25,8.25,8.5,9,9
32_034,9.375,7.375,8,8,8
32_035,9.125,7.25,8,8,8
32_051,7.5,6,7,7,7
32_052,8,6.5,6.75,6.75,7
32_053,8,6.5,6.75,6.5,6
32_054,8,6.75,6.5,7,6.5
32_055,7.5,6.75,7,7,7
32_061,7,6.25,7.25,7,7.5
32_062,6.5,6.5,7,7.25,7
32_063,6.75,6.75,7,7.25,7.5
32_064,6.5,6,6.75,7,7
32_065,6,6.25,7,7,7
32_071,8,7.25,6.75,7,6.5
32_072,9,8,7,7,8
32_073,7.75,6.8,6.5,6.25,6.5
32_074,7.25,6.25,6,6,6
32_075,7.25,6.125,6,6,6
32_081,7.25,6,7,7,7
32_082,7.25,6.75,7.25,7.25,7
32_083,7,3.123,7.5,7.5,7
32_084,0,5.5,7.5,6.75,7
32_085,7.25,6.5,7,7,7
32_091,8.125,7.375,7.25,7.25,7
32_092,8.75,3.75,8,6.5,6
32_093,8.5,3.5,7.5,6.25,6
32_094,8.5,7.875,7.5,7.75,7.5
32_095,8.75,7.5,8,8,7.5
32_101,8.5,6.75,,7.5,7.5
32_102,9,6.75,,7.5,7.5
32_103,9,7,,7,8
32_104,8.5,6.75,,7.75,7.5
32_105,8,7,,7,7.25
32_111,7.75,7,6.75,7,7.5
32_112,7.75,7,7,7,7.5
32_113,7.5,7,7,7,7.5
32_114,7.5,7,7.25,7.25,7.25
32_115,7.75,8.25,8,7.5,8
32_121,8.25,7.75,7,7,8
32_122,7.5,7.25,7,6.5,7
32_123,7.625,7.25,7,6.5,7
32_124,7,6.875,6.5,6,6
32_125,9,8.75,9,9,9
32_131,7.25,7.75,7.5,7.5,7.5
32_132,7,3,7,6.5,6.5
32_133,6.5,7,7.25,6,6
32_141,8.25,7.75,7.75,7.75,7
32_142,8.25,3.5,7.5,7,6
32_143,7.75,7,7.25,7.25,6
32_144,8,7.25,7,7.5,7
32_145,7.75,7,7.5,7.5,6.5
32_146,7.75,7.25,8,7.75,7
32_151,5.5,6.75,6.75,6.75,6.5
32_152,7,7,6,6.5,6
32_153,4,7,6,6.5,6
32_154,7.5,7,8,8,7
32_155,3.5,3,5.5,5.5,5
